omega,P_omega_delta_0.15,P_omega_delta_-0.15
-4138.099999999999,6.791311139052343e-20,8.987019962162598e-21
-4137.9,5.732439176629057e-20,4.608869708279237e-21
-4137.7,6.302915215361337e-20,3.952394828908933e-21
-4137.5,7.490796640654328e-20,2.398369399672771e-21
-4137.299999999999,6.352801261902102e-20,1.0416099565025389e-20
-4137.099999999999,7.819417212866567e-20,9.559173011662978e-21
-4136.9,7.271692194153415e-20,9.800918987827438e-21
-4136.7,4.265342020863993e-20,1.432749658757838e-20
-4136.5,7.976237002681513e-20,1.0828190286853644e-21
-4136.299999999999,7.265877621594124e-20,3.409125854026389e-21
-4136.099999999999,6.645374027072594e-20,5.140738201751759e-22
-4135.9,5.838023295286925e-20,6.810923346428668e-21
-4135.7,1.2176222576123335e-19,8.2178598887278975e-22
-4135.5,4.0792445369035336e-20,1.2453085735753975e-21
-4135.299999999999,9.141711472517999e-20,7.645052557616797e-21
-4135.099999999999,4.140344601615465e-20,2.959391442725696e-21
-4134.9,7.488535886747062e-20,5.039228500734674e-21
-4134.7,1.018862512586428e-19,2.901203285020001e-21
-4134.5,3.1536244498851384e-20,5.1983079506566566e-21
-4134.299999999999,1.2137793727606757e-19,4.206369301620889e-21
-4134.099999999999,6.285139775208782e-20,3.2671653091135307e-21
-4133.9,6.270577219891181e-20,8.633799439033369e-21
-4133.7,1.0449614412061566e-19,1.2552318893097898e-21
-4133.499999999999,4.2580350577293045e-20,1.2695954159483871e-21
-4133.299999999999,7.439998922202416e-20,1.0469306625861271e-20
-4133.099999999999,1.1279064051867693e-19,3.0905150309611555e-21
-4132.9,4.441625989824974e-20,2.16829607809649e-21
-4132.7,1.0301453782674185e-19,8.37629131042218e-21
-4132.5,4.9988287111365385e-20,3.36407456784627e-22
-4132.3,8.72785928009312e-20,9.34055140992015e-22
-4132.1,8.406297731906511e-20,1.4920197887231176e-20
-4131.9,6.474493374880182e-20,4.770982158736307e-22
-4131.7,9.599846108436803e-20,3.923981302189748e-21
-4131.5,6.105555526392572e-20,5.865941960463495e-22
-4131.3,8.607691010478049e-20,1.521962010407293e-22
-4131.1,8.61522300892213e-20,1.6480451883602e-20
-4130.9,6.592481097591987e-20,2.135711971890769e-23
-4130.7,9.008375063694422e-20,6.879691542370577e-22
-4130.5,8.037531696550303e-20,8.383626708782404e-21
-4130.3,6.81820311295579e-20,1.2041683704561076e-20
-4130.099999999999,1.0514921649832465e-19,4.108993849484298e-21
-4129.9,1.0220719758807338e-19,8.094585737319125e-21
-4129.7,2.9798633731493983e-20,5.054453533860634e-21
-4129.5,1.2353318169847547e-19,2.3896502756083104e-22
-4129.3,6.654770072037417e-20,2.7728285840186132e-21
-4129.099999999999,1.113504512948547e-19,6.503955728852645e-21
-4128.9,7.63809183331292e-20,4.372705738189789e-21
-4128.7,8.594507183559442e-20,5.351888854120534e-22
-4128.5,7.356960013671253e-20,4.267672256251289e-21
-4128.3,1.0596636377779218e-19,4.680254808405282e-21
-4128.099999999999,8.547915816595678e-20,1.210063057705494e-21
-4127.9,8.703499786966078e-20,2.9611726163599704e-21
-4127.7,7.059824878271622e-20,1.0523736528950293e-21
-4127.5,1.1108309297786144e-19,1.030805213609543e-20
-4127.3,7.17897079183328e-20,5.191036290274763e-22
-4127.099999999999,1.1702452470397289e-19,8.781562608668159e-21
-4126.9,7.201773308559643e-20,3.2675357027523904e-21
-4126.7,1.3290097105440365e-19,2.7722241074317336e-21
-4126.5,7.93521421763338e-20,1.9203143944234873e-21
-4126.3,8.209435785197398e-20,3.3733930350947982e-21
-4126.099999999999,8.575256529495528e-20,7.17186069335312e-21
-4125.9,9.863830765425797e-20,5.68981315424393e-21
-4125.7,1.111732541600429e-19,3.637568262065082e-21
-4125.5,8.647015758897624e-20,1.6033647848568714e-20
-4125.299999999999,1.061026449609807e-19,4.237534148618293e-21
-4125.099999999999,8.216772842297764e-20,1.0230044026080337e-20
-4124.9,8.727150714442731e-20,8.620609053900944e-21
-4124.7,1.0996176201653115e-19,1.1415734494965325e-20
-4124.5,1.079553634082006e-19,7.638418542330671e-22
-4124.299999999999,8.480029564229798e-20,4.19159718987672e-21
-4124.099999999999,9.313373271544702e-20,4.524267579854181e-21
-4123.9,1.1933162848692732e-19,1.4359983006654258e-21
-4123.7,6.94135800438748e-20,6.5363769237980705e-21
-4123.5,1.2286673883529005e-19,3.641204921536369e-21
-4123.299999999999,9.631280872525929e-20,9.520513376975105e-21
-4123.099999999999,1.2900013286301328e-19,5.887759304990268e-21
-4122.9,7.665674741779266e-20,7.0403564667620085e-22
-4122.7,8.981633070096228e-20,1.2841299179028477e-20
-4122.5,1.2499991494411452e-19,2.860031622369747e-22
-4122.299999999999,1.0981824349890056e-19,3.2772747057524353e-21
-4122.099999999999,1.1871304582024966e-19,6.349337876821779e-21
-4121.9,8.300094797206844e-20,4.653101882194489e-21
-4121.7,9.027735225395256e-20,1.921663675805744e-21
-4121.5,1.568432403757515e-19,6.195240257571021e-21
-4121.299999999999,9.077750614934168e-20,1.4668279234112732e-21
-4121.099999999999,1.0648751039057802e-19,1.4165101317448966e-20
-4120.9,1.2325066528245887e-19,7.471027934372073e-21
-4120.7,9.212378628360958e-20,7.794248175848599e-21
-4120.499999999999,1.1272605031501367e-19,2.0710081309188593e-21
-4120.299999999999,1.2174184792704854e-19,3.9711350207631266e-21
-4120.099999999999,8.494079911779065e-20,3.980702601519317e-21
-4119.9,1.1479685544720594e-19,8.825070878287949e-22
-4119.7,1.619500042439566e-19,3.1586735675999853e-21
-4119.5,7.16840409538613e-20,1.4187641200189997e-20
-4119.3,1.3345398737547276e-19,3.116494204408957e-21
-4119.1,9.182344738821228e-20,6.69671307654765e-21
-4118.9,1.7875784648231449e-19,1.4231288451000726e-22
-4118.7,6.472834213363372e-20,2.85395636502973e-21
-4118.5,1.3855850259630308e-19,6.595272548100666e-21
-4118.3,1.1233999146354569e-19,1.1043838344503047e-20
-4118.099999999999,1.1677141609477227e-19,1.2355645538722642e-21
-4117.9,1.4680295106922028e-19,1.7771166876258835e-21
-4117.7,1.173542338867102e-19,1.0102656911233768e-20
-4117.5,9.919460849090453e-20,1.7996513987035422e-21
-4117.3,1.2170298805693072e-19,1.8796448152702078e-20
-4117.099999999999,1.4155364086056077e-19,4.943797134958315e-21
-4116.9,1.0249914445610175e-19,4.82374311583325e-21
-4116.7,1.4898211025827419e-19,2.9983405241676173e-21
-4116.5,1.137388120836368e-19,5.4848323745190914e-21
-4116.3,9.33550690415399e-20,3.767530403715752e-21
-4116.099999999999,1.4829250462572203e-19,2.1392700487332653e-21
-4115.9,1.2551624675792062e-19,5.794301738296983e-21
-4115.7,1.315716259020783e-19,5.608284463318409e-21
-4115.5,1.0159057580541848e-19,4.6483345393340485e-22
-4115.3,1.5896710065736642e-19,5.333675103468455e-21
-4115.099999999999,9.393465417678766e-20,2.062533642476956e-21
-4114.9,1.7870531645233524e-19,5.9029914471398124e-21
-4114.7,1.0420102459227923e-19,7.43897693314264e-21
-4114.5,1.438741033214243e-19,8.690122461696101e-21
-4114.3,9.581711925990965e-20,1.661537606878784e-23
-4114.099999999999,2.1711353889073274e-19,8.76783660910968e-21
-4113.9,6.455398749058713e-20,2.563887403959232e-21
-4113.7,1.7084314609382362e-19,9.81404130649936e-21
-4113.5,1.343754064494219e-19,7.109436464731264e-22
-4113.299999999999,1.2693744523080848e-19,1.568975732221914e-20
-4113.099999999999,1.3815586168172204e-19,3.975099156180929e-21
-4112.9,1.0943723490838507e-19,2.4100724778640186e-21
-4112.7,1.7449830473970297e-19,6.937595306225887e-21
-4112.5,1.134574443050497e-19,9.973513527743139e-21
-4112.299999999999,1.5483328930806025e-19,4.0140303019621114e-21
-4112.099999999999,1.2075500847807944e-19,5.3587722513614526e-21
-4111.9,1.4314662007863122e-19,1.3563965426768587e-20
-4111.7,1.3291621336674162e-19,1.706801870240337e-20
-4111.5,1.4768122000107091e-19,5.036086191266016e-21
-4111.299999999999,1.4832641496998154e-19,2.0876611032497906e-21
-4111.099999999999,1.0123606285154581e-19,7.323027744144446e-21
-4110.9,2.0418688708360504e-19,8.603323830697412e-21
-4110.7,1.2342100408923028e-19,4.868537780504212e-21
-4110.5,1.5283191068060296e-19,4.0717091006749624e-22
-4110.299999999999,1.2050958291279458e-19,2.484352451504363e-21
-4110.099999999999,1.7852608360934317e-19,3.1554063458356754e-21
-4109.9,1.151564960088123e-19,9.093020308749126e-21
-4109.7,1.505081058758065e-19,7.80305977286668e-21
-4109.5,1.8318815752445782e-19,3.755056225662812e-22
-4109.299999999999,9.735569478330436e-20,6.220117426144606e-21
-4109.099999999999,1.8317491029240084e-19,4.758604040548963e-21
-4108.9,1.5486291584244773e-19,8.858192456760699e-21
-4108.7,1.3530870723411938e-19,1.7902733789009074e-21
-4108.499999999999,1.7534915262814046e-19,2.967062694940237e-20
-4108.299999999999,1.3396306338916588e-19,3.6465837078205744e-22
-4108.099999999999,1.7532115575423286e-19,2.2588049451169666e-20
-4107.9,1.2137182844799619e-19,4.2967020554021015e-21
-4107.7,1.7586974271207636e-19,1.4678803079128282e-21
-4107.5,1.5236054639843967e-19,1.1570965503199604e-20
-4107.3,1.6015063422689586e-19,1.5612899719862663e-21
-4107.1,1.4956987720355956e-19,1.5131052055887163e-20
-4106.9,1.2345041578530342e-19,6.905630107341017e-21
-4106.7,2.1610217650631005e-19,1.650364388862023e-20
-4106.5,1.3255058141890092e-19,6.7226627092495726e-21
-4106.3,1.4269426525891608e-19,1.8636276464178835e-22
-4106.1,1.833955084099993e-19,1.8558570888837907e-20
-4105.9,1.6133471761147044e-19,1.2625053652197458e-21
-4105.7,1.3297539197303156e-19,1.585428505614587e-20
-4105.5,1.8631660358929416e-19,8.584072987406622e-21
-4105.3,1.7028584638005328e-19,1.4402714923934482e-20
-4105.099999999999,1.4151752271937121e-19,1.8643884520298137e-21
-4104.9,1.5111184849992428e-19,1.6454751384361363e-20
-4104.7,2.0931459356990467e-19,9.314604645265043e-22
-4104.5,1.078629192319427e-19,7.727711988622551e-21
-4104.3,2.0575175156352812e-19,3.0060114913226236e-21
-4104.099999999999,1.5681870320008512e-19,5.399032902873307e-21
-4103.9,1.7770704935141783e-19,3.444924562812011e-21
-4103.7,1.8064991662973188e-19,7.602615029072942e-21
-4103.5,1.5970544260203439e-19,6.093899824606426e-22
-4103.3,1.8779135988821953e-19,2.1694443656800258e-20
-4103.099999999999,1.1382887550749165e-19,5.398269369898161e-21
-4102.9,2.104481825140364e-19,1.5821144476363308e-20
-4102.7,1.714638566711034e-19,1.4587960686462055e-21
-4102.5,1.5740190265787298e-19,1.0323651589898085e-20
-4102.3,2.116246675460929e-19,6.897625988558234e-21
-4102.099999999999,1.8197198489227484e-19,4.6368861685042425e-21
-4101.9,1.2852558835681573e-19,7.325283234653212e-21
-4101.7,1.7511618510419973e-19,2.669678527235602e-21
-4101.5,2.5434492525435615e-19,4.500416814856527e-21
-4101.3,1.1816855444382273e-19,9.230218014565522e-21
-4101.099999999999,1.8252476477340254e-19,1.2637365847205944e-20
-4100.9,1.686490916969311e-19,1.1479658015385081e-20
-4100.7,2.368865400126708e-19,1.9078217881270215e-20
-4100.5,1.3408290272835572e-19,7.135888615060654e-21
-4100.299999999999,2.1365754713977934e-19,1.5988942124489045e-20
-4100.099999999999,1.3883959544329575e-19,9.255198457121514e-21
-4099.9,2.2531306530136255e-19,3.54099013139133e-21
-4099.7,1.8772942359106346e-19,1.1964988441582202e-20
-4099.5,1.8859984533868308e-19,6.982386632170805e-22
-4099.299999999999,1.5577298740459302e-19,2.054859938284268e-21
-4099.099999999999,2.537567541963542e-19,1.3254222044890533e-20
-4098.9,1.1371651162154046e-19,9.891982331646023e-21
-4098.7,2.1223460160584757e-19,4.659539370373114e-21
-4098.5,2.1631469477696775e-19,9.983414092977378e-21
-4098.299999999999,1.7266466067257412e-19,8.894241689009823e-21
-4098.099999999999,1.9112639319757345e-19,1.611907032347694e-20
-4097.9,1.957863847438339e-19,6.530725339696313e-21
-4097.7,1.8016275784934808e-19,3.2208192881977277e-22
-4097.5,2.265421690808943e-19,1.1746995748129032e-20
-4097.299999999999,1.5735585667528107e-19,1.0930746608401245e-20
-4097.099999999999,2.471797781002238e-19,8.129999112646648e-21
-4096.9,1.3777171290764542e-19,8.34466669679387e-21
-4096.7,2.0992341370794347e-19,1.4042470371319333e-20
-4096.5,2.218508421676926e-19,2.3060523595678617e-21
-4096.299999999999,1.849465628321645e-19,1.1756380695196735e-20
-4096.099999999999,1.8776449897637837e-19,8.931127283968653e-21
-4095.8999999999996,2.290325593801179e-19,8.315900854296136e-22
